
11520 atoms
2 atom types
   0.0000000000   80.0046997070 xlo xhi
   0.0000000000   16.8663997650 ylo yhi
   0.0000000000   77.4965972900 zlo zhi
   0.0000000000    0.0000000000    0.0000000000 xy xz yz

Masses

1 58.690000
2 16.000000

Atoms # spin

    20      1   78.01418000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    21      1   58.01301000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    22      1   58.01301000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    23      1   71.34660000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    24      1   71.34660000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    25      1   11.34307000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    26      1   11.34307000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    27      1   24.67745000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    28      1   24.67745000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    29      1   4.67627000 	2.09632000 	0.00736000        -0.51638874 -0.81647984 -0.25826989  1.2737
    30      1   4.67627000 	10.52952000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    31      1   18.01066000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    32      1   18.01066000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    33      1   38.01183000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    34      1   38.01183000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    35      1   51.34542000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    36      1   51.34542000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    37      1   31.34424000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    38      1   31.34424000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    39      1   44.67862000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
    40      1   44.67862000 	10.52952000 	0.00736000    -0.51638874 -0.81647984 -0.25826989  1.2737
    41      1   64.67980000 	2.09632000 	0.00736000      -0.51638874 -0.81647984 -0.25826989  1.2737
